Age,Gender,Weight (kg),Height (m),Workout_Type,Session_Duration (hours),Max_BPM,Avg_BPM,Resting_BPM,Calories_Burned,Fat_Percentage,Water_Intake (liters),Workout_Frequency (days/week),Experience_Level,BMI
31,Female,61.1,1.76,Yoga,1.81,189,150,67,1358,18.6,2.7,4,3,19.72
40,Male,106.5,1.65,HIIT,1.32,162,162,74,1176,21,3.6,4,2,39.12
57,Female,64,1.52,Strength,1.73,170,129,52,1004,15.2,2.7,5,3,27.7
38,Female,61.4,1.54,HIIT,1.47,183,131,69,963,30.6,2.7,3,2,25.89
33,Female,40.5,1.63,Yoga,1.07,181,147,66,786,31.9,1.5,4,2,15.24
35,Male,70.1,1.79,Cardio,1.08,185,125,63,743,28,2.3,3,2,21.88
41,Male,94.1,1.62,Cardio,1.13,172,139,50,777,23.4,3.1,4,2,35.86
43,Male,55.5,1.82,Strength,1.08,160,124,66,663,20.1,2,3,1,16.76
42,Female,53.7,1.72,Cardio,1.37,183,142,74,875,29.8,1.6,3,1,18.15
58,Female,66.1,1.75,Cardio,0.63,169,128,57,363,25.2,1.8,2,1,21.58
46,Male,103.9,1.77,Yoga,1.18,194,148,54,864,20.9,2.9,2,1,33.16
32,Female,61.7,1.58,HIIT,1.87,183,135,54,1262,16.6,2.7,5,3,24.72
18,Female,52.3,1.74,Cardio,1.2,187,165,58,990,29.4,2.2,2,1,17.27
42,Female,59.5,1.74,Yoga,1.78,195,141,52,1129,16.4,2.7,5,3,19.65
24,Female,72.9,1.76,Yoga,0.86,175,127,68,546,30.8,1.5,3,1,23.53
26,Female,76.7,1.63,Strength,1.08,199,139,72,751,25.6,1.7,2,1,28.87
41,Male,72.1,1.83,Yoga,1.13,175,133,58,744,21.4,2.8,3,2,21.53
18,Female,54.8,1.68,Strength,1.27,176,158,71,1003,32,2.2,4,2,19.42
25,Male,105,1.88,Cardio,1.34,174,156,67,1150,21.4,2.3,3,2,29.71
41,Female,55,1.55,Strength,1.45,175,169,65,1103,31.4,2,4,2,22.89
28,Male,81.6,1.66,Yoga,1.09,174,153,50,917,20.5,3.5,4,2,29.61
34,Female,75.6,1.6,HIIT,0.64,193,130,51,416,29.1,2.7,2,1,29.53
25,Male,81.5,1.61,HIIT,1.93,170,159,63,1688,10.9,3.5,4,3,31.44
52,Female,61.5,1.69,Cardio,1.8,160,152,63,1231,15.5,2.7,4,3,21.53
52,Male,74,1.63,Cardio,1.26,174,150,50,936,25.7,3.7,3,2,27.85
50,Female,56.4,1.59,HIIT,1.26,185,163,74,924,34.3,2.6,3,1,22.31
22,Male,102.6,1.84,Strength,1.25,163,153,65,1052,20.5,2.7,3,2,30.3
59,Female,54.6,1.57,Cardio,0.58,164,169,64,441,29.2,2.3,3,1,22.15
56,Male,129,1.78,Yoga,1.29,194,126,64,805,27.1,2.7,2,1,40.71
58,Male,103.5,1.66,Cardio,1.33,172,168,61,1106,24.6,3.1,3,1,37.56
45,Female,59.4,1.51,Strength,1.15,169,142,65,735,33.1,1.9,4,2,26.05
24,Female,60.1,1.79,Cardio,1.97,170,165,63,1625,15.9,2.7,4,3,18.76
26,Male,77.7,1.62,Yoga,1.16,177,126,73,804,29.6,3,3,2,29.61
25,Female,41.2,1.62,Yoga,1.49,193,144,64,1073,28.9,2.1,4,2,15.7
29,Male,58.6,1.61,Yoga,1.2,198,122,72,805,23.4,2,3,2,22.61
51,Male,109.3,1.78,Strength,0.54,182,157,64,420,28.7,3.3,3,1,34.5
50,Male,69.6,1.96,Strength,0.97,166,139,68,667,25.6,2,3,1,18.12
40,Female,56.2,1.79,Yoga,1.79,198,153,57,1369,17.6,2.7,5,3,17.54
41,Male,71.7,1.96,Yoga,0.51,162,168,51,424,27.3,2.5,2,1,18.66
54,Male,86,1.93,Strength,1.74,171,163,51,1404,12.9,3.5,5,3,23.09
52,Female,79.4,1.59,Strength,1.39,166,163,59,1020,26.6,1.5,3,2,31.41
57,Female,78.4,1.62,Strength,1.01,185,149,52,677,31.7,2,4,2,29.87
39,Female,55.4,1.6,HIIT,1.44,192,136,72,979,26.3,1.6,3,2,21.64
44,Female,61.7,1.55,Strength,1.41,196,129,66,819,33.1,2.6,4,2,25.68
52,Male,85.5,1.82,Yoga,1.78,174,154,57,1357,14.9,3.5,4,3,25.81
18,Male,87.6,1.93,HIIT,1.72,161,139,72,1315,11.9,3.5,4,3,23.52
52,Male,82.4,1.72,Strength,1.01,166,137,53,685,24.4,2.7,4,2,27.85
54,Male,67,1.68,Yoga,0.55,191,164,63,446,20.5,2.8,3,1,23.74
31,Female,42.3,1.6,Cardio,1.09,163,163,70,888,25.1,1.9,3,2,16.52
20,Male,82.7,1.99,HIIT,1.69,179,146,59,1357,14.6,3.5,5,3,20.88
18,Male,92.4,1.74,Yoga,1.41,195,168,50,1303,21.3,3.1,2,1,30.52
22,Female,63.2,1.54,Cardio,1.02,191,155,53,790,29.5,2.4,4,2,26.65
43,Male,82.7,1.85,Yoga,1.22,187,142,50,858,28.2,3.1,4,2,24.16
31,Male,86.6,1.76,Strength,1.29,172,151,66,1071,28.9,3.3,3,2,27.96
56,Male,129.5,1.95,Strength,1,160,129,66,639,25.2,3.5,2,1,34.06
44,Male,98,1.83,Cardio,1.28,194,130,56,824,25.7,3.5,4,2,29.26
26,Male,86.2,1.68,Strength,1.97,189,157,72,1701,13.3,3.5,5,3,30.54
32,Male,78.6,1.62,Yoga,1.28,195,125,69,880,29.6,3.1,3,1,29.95
32,Female,59,1.66,Cardio,0.51,184,160,64,408,31,1.8,2,1,21.41
43,Female,57.3,1.79,Yoga,1.98,175,166,62,1479,17.8,2.7,4,3,17.88
59,Male,122.3,1.89,Yoga,0.66,178,153,51,500,20.1,3.1,3,1,34.24
30,Male,85.3,1.95,Yoga,1.61,160,155,68,1373,10.4,3.5,5,3,22.43
49,Female,45.2,1.74,Strength,1.24,164,156,73,870,30.8,2.1,3,2,14.93
56,Male,55.6,1.92,Strength,0.68,181,136,62,458,29.4,3.2,3,1,15.08
49,Male,82.8,1.95,Yoga,1.91,183,159,73,1503,14.3,3.5,5,3,21.78
21,Male,125.2,1.66,HIIT,1.38,196,159,60,1207,29.8,3.4,3,2,45.43
47,Female,58.5,1.79,Yoga,1.42,195,131,71,837,30.3,2.4,4,2,18.26
54,Male,86.1,1.95,Yoga,1.17,195,140,64,811,27.9,3.4,2,1,22.64
40,Female,63.5,1.61,Cardio,1.31,163,159,59,1041,33.4,1.6,3,2,24.5
56,Male,69.3,1.68,Yoga,0.66,195,138,58,451,26.5,2.1,2,1,24.55
32,Female,70.5,1.62,Strength,1.24,177,122,58,756,28.4,1.8,2,1,26.86
46,Female,60.1,1.65,Cardio,1.69,175,137,69,1042,17.3,2.7,4,3,22.08
53,Male,94.1,1.95,HIIT,0.89,177,138,50,608,28.6,3.5,3,1,24.75
30,Female,79.2,1.62,Cardio,1.26,181,166,66,1046,28,2.5,4,2,30.18
49,Male,115.3,1.91,HIIT,1.38,161,125,61,854,29.2,3.2,2,1,31.61
24,Female,62.9,1.79,Cardio,1.42,180,135,59,958,27.3,2.3,4,2,19.63
39,Male,62,1.64,Cardio,0.97,195,127,54,678,27.5,3.2,3,1,23.05
45,Male,88.5,1.78,HIIT,1.53,198,167,67,1265,13.2,3.5,4,3,27.93
19,Female,73.9,1.77,Strength,1.28,198,137,64,877,32.5,2.6,3,2,23.59
59,Male,50.3,1.95,Strength,1.07,188,167,55,885,24.4,3.4,3,1,13.23
23,Male,83.1,1.8,Strength,0.7,185,162,56,624,29.3,3.1,3,1,25.65
45,Female,65.1,1.78,Cardio,1.46,180,158,66,1038,31.3,2.3,3,1,20.55
45,Male,46.6,1.79,Yoga,1.46,176,168,55,1214,22.9,2.4,3,2,14.54
37,Male,103.5,1.89,Cardio,0.54,175,168,57,499,26.4,3.1,2,1,28.97
47,Female,61.9,1.54,Yoga,1.95,190,131,61,1150,16.4,2.7,4,3,26.1
28,Female,52,1.61,Yoga,1.32,168,164,70,1082,27.9,2,3,2,20.06
45,Male,113.4,1.71,Strength,0.83,190,129,63,530,24,2.3,2,1,38.78
42,Male,62.9,1.98,Yoga,1.42,173,126,61,886,28.5,3.4,4,2,16.04
56,Female,40.4,1.8,Cardio,1.23,196,165,72,913,30,2.1,4,2,12.47
50,Female,67.1,1.75,Cardio,0.67,161,120,59,362,31.8,2.7,3,1,21.91
18,Male,70,1.61,Strength,1.3,173,168,71,1201,23.9,2.5,2,1,27.01
44,Female,69.5,1.75,HIIT,1.02,192,155,69,711,27.6,2.1,3,1,22.69
30,Male,107.9,1.66,Cardio,1.08,194,140,64,832,29.5,2.8,3,2,39.16
58,Male,109,1.91,Yoga,1.49,198,156,56,1151,26,2.2,3,2,29.88
20,Male,101,1.91,Cardio,1.36,179,143,58,1070,29.3,2.7,3,2,27.69
56,Male,88.5,1.85,Cardio,1.57,161,144,59,1119,11,3.5,4,3,25.86
23,Male,80.9,1.8,Cardio,1.55,178,126,59,1074,10.7,3.5,4,3,24.97
25,Female,43.1,1.62,HIIT,1.04,196,161,65,837,33.6,1.8,4,2,16.42
44,Female,59.1,1.52,Yoga,1.58,177,136,56,967,18.4,2.7,5,3,25.58
26,Female,54,1.53,Strength,1.14,175,148,54,844,26.9,1.7,3,1,23.07
54,Female,72.3,1.78,Cardio,1.27,163,149,72,852,27.7,1.8,2,1,22.82
50,Male,51.1,1.98,Yoga,0.92,171,126,52,574,28,2.4,2,1,13.03
59,Male,89.4,1.72,Yoga,1.08,188,152,67,813,24.5,3.2,3,1,30.22
41,Male,51.5,1.8,Strength,1.09,166,126,60,680,26.7,2.1,4,2,15.9
32,Male,87.9,1.88,Cardio,1.52,173,143,64,1195,11.6,3.5,5,3,24.87
49,Female,42,1.52,HIIT,1.1,171,130,70,644,28.8,2.2,3,1,18.18
49,Male,79.2,1.72,Yoga,1.46,194,128,69,925,29.9,3.3,3,1,26.77
41,Male,64.8,1.71,Strength,1.2,164,131,54,778,22.5,2.8,3,2,22.16
58,Female,63,1.78,HIIT,1.58,176,154,73,1095,17.5,2.7,4,3,19.88
29,Female,56.2,1.77,Yoga,0.68,191,123,61,418,33.4,2.6,3,1,17.94
56,Female,52.9,1.64,Cardio,1.1,169,155,53,767,27.4,2.3,3,2,19.67
19,Female,49,1.69,Yoga,1.05,176,147,64,772,29.2,2.4,3,1,17.16
20,Male,128.2,1.84,HIIT,0.83,164,132,58,603,26.2,2.3,3,1,37.87
54,Male,83.6,1.86,HIIT,1.54,168,142,56,1082,12.4,3.5,5,3,24.16
34,Female,56.2,1.77,Cardio,1.81,192,138,59,1249,17.3,2.7,5,3,17.94
19,Male,87.8,1.78,Cardio,1.28,195,161,72,1133,23.6,3.3,2,1,27.71
19,Male,85.9,1.85,Strength,1.66,195,156,62,1424,12.9,3.5,4,3,25.1
45,Male,51.1,1.87,Cardio,1.44,177,158,57,1126,26.2,3.4,4,2,14.61
40,Female,57.4,1.71,Strength,1.87,168,143,61,1337,18.3,2.7,5,3,19.63
54,Male,114.9,1.92,HIIT,1.2,188,135,71,802,20.7,2.6,4,2,31.17
49,Female,62.1,1.66,HIIT,1.37,173,152,73,937,31.3,1.8,3,2,22.54
50,Male,57.1,1.91,Yoga,1.09,184,131,68,707,29.5,2.7,4,2,15.65
18,Male,68.1,1.8,Yoga,1.1,174,153,50,926,25.4,3.3,4,2,21.02
36,Male,69.2,1.65,Strength,1.23,165,126,65,852,27.2,2.7,3,1,25.42
19,Female,65.2,1.52,Cardio,1.23,188,130,71,800,30.6,2.4,3,1,28.22
43,Male,108.6,1.73,Cardio,1.33,174,150,66,988,28.5,2.2,2,1,36.29
49,Female,40,1.65,Yoga,1.03,188,148,74,686,34.3,2.5,3,2,14.69
23,Female,41.9,1.58,HIIT,0.56,163,132,67,370,26.8,1.8,3,1,16.78
49,Female,68.3,1.52,Strength,1.45,177,150,60,979,29.4,1.8,4,2,29.56
21,Male,88.4,1.6,HIIT,1.71,198,121,67,1138,12,3.5,4,3,34.53
28,Male,66,1.9,HIIT,1.18,175,158,56,1025,24.1,3,3,1,18.28
34,Male,71.9,1.64,Cardio,1.26,170,134,67,929,21.3,2.1,4,2,26.73
55,Male,75.6,1.71,Strength,1.03,173,130,57,663,28.1,2,4,2,25.85
41,Female,63.4,1.59,HIIT,1.84,162,153,55,1267,15.2,2.7,5,3,25.08
22,Female,71.6,1.77,Yoga,1.49,197,158,56,1177,30.3,1.8,3,1,22.85
51,Female,57.4,1.77,Yoga,1.08,177,123,72,598,31.6,2.1,4,2,18.32
23,Male,83.8,1.99,Cardio,1.79,179,130,71,1280,11,3.5,4,3,21.16
39,Female,55.9,1.71,Yoga,1.95,184,148,59,1443,19.5,2.7,5,3,19.12
28,Male,87,1.76,Yoga,1.2,197,121,60,799,28.4,3.5,3,2,28.09
33,Female,65.3,1.71,HIIT,1.18,172,135,74,796,29.7,2.5,4,2,22.33
50,Male,45.4,1.67,Yoga,1.37,163,158,62,1071,24.1,2.8,4,2,16.28
26,Male,87.1,1.87,Yoga,1.71,173,132,58,1241,11.2,3.5,4,3,24.91
23,Female,78.6,1.73,HIIT,1.47,192,156,56,1147,32.3,1.5,4,2,26.26
33,Female,78,1.71,Cardio,1.08,187,136,58,734,26.3,2.1,3,1,26.67
46,Female,58,1.53,Cardio,1.83,196,140,62,1153,18.4,2.7,4,3,24.78
20,Female,71.3,1.69,Strength,1.28,167,163,52,1043,33.4,2.3,3,2,24.96
37,Male,49.1,1.74,Yoga,1.11,193,138,52,842,22.3,2.6,3,2,16.22
53,Female,78.3,1.65,HIIT,1.24,164,126,50,703,33.7,1.6,3,1,28.76
36,Female,57.3,1.64,Strength,1.13,164,157,70,887,25.3,1.8,4,2,21.3
43,Female,48.4,1.61,Cardio,1.28,190,127,69,732,34.1,2.4,2,1,18.67
20,Male,76.4,1.62,Cardio,1.35,168,132,51,980,21.2,2.6,4,2,29.11
36,Male,110.2,1.77,HIIT,1.19,191,156,74,1021,26.5,3.4,2,1,35.18
37,Female,72.9,1.76,Strength,1.21,192,121,52,732,27.5,1.9,3,2,23.53
49,Male,82.1,1.86,Strength,1.87,162,160,64,1481,14.2,3.5,4,3,23.73
24,Female,58.9,1.76,HIIT,0.63,189,130,73,410,30.1,1.7,3,1,19.01
58,Male,82.2,1.87,HIIT,1.57,171,143,55,1111,10.7,3.5,4,3,23.51
50,Male,96.7,1.72,Strength,1.46,188,125,62,903,25.7,2.7,3,2,32.69
57,Male,81.4,1.86,Cardio,1.8,162,145,70,1292,12,3.5,5,3,23.53
56,Male,107.8,1.73,Yoga,1.09,185,126,50,680,26.6,2.8,3,2,36.02
35,Female,65.8,1.62,Cardio,1,189,158,69,790,33.8,1.5,4,2,25.07
57,Female,68.5,1.56,HIIT,1.45,168,138,68,900,29.1,1.6,4,2,28.15
18,Female,63.9,1.59,Strength,1.87,185,125,50,1169,16.4,2.7,4,3,25.28
28,Male,76.3,1.62,Strength,1.16,161,162,70,1034,20.1,2.3,3,2,29.07
45,Female,44.5,1.65,Yoga,1.44,162,148,71,959,30.7,1.6,3,1,16.35
42,Female,50.7,1.75,Strength,1.29,163,162,51,940,29,1.9,3,2,16.56
40,Female,55.1,1.61,Yoga,1.55,184,158,64,1224,16.9,2.7,4,3,21.26
48,Male,73.7,1.61,Cardio,1.36,172,121,63,815,21.8,3.6,4,2,28.43
47,Male,55.6,1.77,Cardio,1.2,198,138,68,820,24.3,2.9,4,2,17.75
59,Male,86.9,1.76,Strength,1.13,194,123,60,688,29.8,3.1,3,2,28.05
52,Female,60.3,1.68,Strength,1.6,182,125,64,900,16.5,2.7,4,3,21.36
24,Female,40.4,1.64,HIIT,0.99,168,168,55,832,31,1.9,2,1,15.02
33,Female,78.5,1.66,HIIT,1.29,161,156,69,1006,32.8,1.9,4,2,28.49
43,Male,102.6,1.72,Strength,0.82,190,147,58,597,27.5,2,2,1,34.68
19,Male,110.8,1.91,Strength,1.31,161,149,54,1074,23.3,2.9,2,1,30.37
18,Female,60.9,1.79,Cardio,1.11,191,126,69,699,31.1,2.1,2,1,19.01
29,Male,55.7,1.61,Strength,1.41,177,128,51,993,28.7,2.3,3,1,21.49
22,Male,110.5,1.92,HIIT,1.16,172,144,55,919,20.2,3.3,3,2,29.98
54,Male,55.2,1.71,Cardio,0.77,164,152,67,579,24.4,2.8,2,1,18.88
49,Male,46.5,1.72,Yoga,1.4,169,120,72,832,22.2,2.6,4,2,15.72
26,Female,70.9,1.66,HIIT,0.81,184,125,68,506,28.9,1.7,3,1,25.73
58,Male,74.6,1.75,HIIT,1.09,193,137,58,739,24.2,2.9,2,1,24.36
52,Male,45.1,1.72,Cardio,0.93,196,129,70,594,27.5,3.3,2,1,15.24
36,Male,99.9,1.99,Yoga,1.33,189,147,73,1075,20.9,2.5,3,1,25.23
33,Male,117,1.61,HIIT,1.04,166,130,55,744,25.1,2.4,3,2,45.14
20,Female,75.9,1.73,Strength,1.39,165,152,63,1056,30.6,2.1,4,2,25.36
37,Female,71.2,1.64,HIIT,1.11,162,120,73,666,29.9,1.7,3,2,26.47
41,Male,78.8,1.72,Cardio,1.01,172,132,62,660,27.3,3.1,4,2,26.64
50,Male,50.6,1.69,Cardio,1.31,162,156,60,1012,23.8,3,2,1,17.72
41,Male,82.5,1.79,Cardio,1.69,185,139,61,1163,14.7,3.5,4,3,25.75
28,Male,108.5,1.79,HIIT,1.33,183,120,68,878,24.8,2.1,4,2,33.86
25,Male,49.9,1.98,Yoga,1.15,165,122,68,772,25.7,2.1,3,2,12.73
53,Male,125.1,1.91,Strength,0.52,171,137,70,353,28.3,3.1,2,1,34.29
55,Female,79.7,1.66,Cardio,1.06,195,160,68,763,27.8,1.9,2,1,28.92
57,Male,126.8,1.63,Yoga,0.96,161,133,73,632,20.8,2.1,2,1,47.72
37,Female,54.6,1.57,Strength,1.31,170,150,62,982,32.1,2.4,3,1,22.15
52,Female,47.8,1.54,Cardio,1.34,198,146,63,880,29.8,1.9,3,2,20.16
42,Male,97.9,1.91,Strength,1.01,193,136,73,680,29,2.8,3,2,26.84
52,Female,63.1,1.54,Strength,1.36,185,165,67,1010,34.8,1.8,3,2,26.61
42,Female,72.4,1.69,Yoga,1.07,177,148,61,713,29,2.3,3,2,25.35
46,Female,58.9,1.7,Strength,1.52,180,155,53,1060,17.1,2.7,4,3,20.38
35,Female,50.4,1.6,Cardio,1.03,195,156,59,803,29.1,1.9,4,2,19.69
35,Female,64.2,1.59,Yoga,1.63,199,145,66,1182,16.6,2.7,5,3,25.39
19,Female,58.8,1.77,HIIT,1.4,181,136,53,952,32.8,2.7,2,1,18.77
52,Male,105.2,1.62,HIIT,1.36,189,141,61,949,27.6,3.2,3,1,40.09
33,Female,45.9,1.5,Yoga,0.92,189,144,62,662,29.8,1.7,3,1,20.4
58,Female,65.2,1.63,HIIT,1.12,167,121,53,610,25.4,2,3,2,24.54
53,Female,56.3,1.79,Strength,1.52,193,141,59,964,16.5,2.7,5,3,17.57
50,Male,90,1.7,Cardio,0.81,168,124,74,497,22.9,2.7,2,1,31.14
21,Female,60,1.7,Strength,1.97,179,123,52,1212,19.1,2.7,5,3,20.76
50,Male,51.5,1.71,Yoga,1.48,199,155,64,1136,20.9,2.9,2,1,17.61
31,Female,63.1,1.64,Cardio,1.54,184,125,51,962,19,2.7,4,3,23.46
38,Male,91.5,1.77,Yoga,0.8,178,140,74,616,26.7,3.4,2,1,29.21
37,Male,48.7,1.67,Yoga,1.39,164,132,74,1009,27.3,3,2,1,17.46
25,Female,57.8,1.56,Yoga,1.35,170,156,66,1053,29.3,1.6,3,2,23.75
24,Female,42,1.75,Strength,0.83,174,144,55,598,31.8,2.3,3,1,13.71
20,Male,128.4,1.92,Cardio,0.63,167,145,57,502,26.1,2,2,1,34.83
34,Female,74.2,1.57,Cardio,1.47,178,158,52,1161,32.7,2.4,3,1,30.1
50,Male,89.6,1.68,Cardio,1.79,182,139,74,1232,12.2,3.5,5,3,31.75
29,Male,125.9,2,Strength,1.36,186,152,67,1137,24.7,3.1,4,2,31.48
39,Male,105.5,1.99,HIIT,0.81,199,133,71,593,26.4,2.5,2,1,26.64
39,Male,93.4,1.7,Strength,1.1,191,155,50,938,21.1,2.5,4,2,32.32
47,Male,82.1,1.84,Strength,1.37,185,136,65,922,24.4,3.4,4,2,24.25
55,Female,42.9,1.69,Yoga,0.9,186,140,56,567,34.7,2.4,2,1,15.02
55,Male,128.4,1.68,Cardio,1.13,178,165,52,923,20.4,2.6,4,2,45.49
25,Male,112.4,1.96,Cardio,1.42,188,135,72,1054,23.2,2.5,2,1,29.26
44,Female,77.7,1.79,HIIT,1.41,198,165,53,1047,28.1,2.2,3,1,24.25
44,Male,89.3,1.99,HIIT,1.4,192,135,58,936,26.3,2,4,2,22.55
51,Female,70.3,1.55,Yoga,1.4,178,139,54,876,26.1,1.6,3,1,29.26
38,Female,59.1,1.72,Cardio,1.07,196,148,68,792,31.3,1.7,3,2,19.98
47,Female,49.9,1.69,HIIT,1.48,178,147,64,979,26,1.7,3,2,17.47
50,Male,101.7,1.67,HIIT,0.53,192,127,57,333,20.9,2.9,2,1,36.47
45,Male,93,1.91,Cardio,1.03,175,143,55,729,27.3,3.7,3,2,25.49
50,Male,87.4,1.6,Strength,0.77,182,122,67,465,23.2,3.1,2,1,34.14
22,Female,55.1,1.61,HIIT,1.62,166,144,68,1166,19.9,2.7,4,3,21.26
